,note_name,start_time,duration,velocity,tempo
245,G4,151.0,0.498,127,130.0
246,B3,152.0,0.498,127,130.0
247,B3,152.5,0.498,127,130.0
248,C4,153.0,0.498,127,130.0
249,C4,153.5,0.498,127,130.0
250,B3,154.0,0.498,127,130.0
251,B3,154.5,0.498,127,130.0
252,A3,155.0,0.498,127,130.0
253,A3,155.5,0.498,127,130.0
254,B4,156.0,0.248,127,130.0
255,B4,156.5,0.248,127,130.0
256,C5,157.0,0.248,127,130.0
257,C5,157.5,0.248,127,130.0
258,D5,158.0,0.498,127,130.0
259,G5,158.5,0.498,127,130.0
260,D5,159.0,0.998,127,130.0
261,B3,160.0,0.498,127,130.0
262,B3,160.5,0.498,127,130.0
263,C4,161.0,0.498,127,130.0
264,C4,161.5,0.498,127,130.0
265,D4,162.0,0.498,127,130.0
266,D4,162.5,0.498,127,130.0
267,D4,163.0,0.498,127,130.0
268,D4,163.5,0.498,127,130.0
269,D5,164.0,0.248,127,130.0
270,C5,164.5,0.248,127,130.0
271,B4,165.0,0.248,127,130.0
272,A4,165.5,0.248,127,130.0
273,G4,166.0,0.498,127,130.0
274,G5,166.5,0.498,127,130.0
275,G4,167.0,0.498,127,130.0
276,B3,168.0,0.498,127,130.0
277,B3,168.5,0.498,127,130.0
278,C4,169.0,0.498,127,130.0
279,C4,169.5,0.498,127,130.0
280,B3,170.0,0.498,127,130.0
281,B3,170.5,0.498,127,130.0
282,A3,171.0,0.498,127,130.0
283,A3,171.5,0.498,127,130.0
284,B4,172.0,0.248,127,130.0
285,B4,172.5,0.248,127,130.0
286,C5,173.0,0.248,127,130.0
287,C5,173.5,0.248,127,130.0
288,D5,174.0,0.498,127,130.0
289,G5,174.5,0.248,127,130.0
290,D5,175.0,0.998,127,130.0
291,B3,176.0,0.498,127,130.0
292,B3,176.5,0.498,127,130.0
293,C4,177.0,0.498,127,130.0
294,C4,177.5,0.498,127,130.0
295,D4,178.0,0.498,127,130.0
296,D4,178.5,0.498,127,130.0
297,D4,179.0,0.498,127,130.0
298,D4,179.5,0.498,127,130.0
299,D5,180.0,0.248,127,130.0
300,C5,180.5,0.248,127,130.0
301,B4,181.0,0.248,127,130.0
302,A4,181.5,0.248,127,130.0
303,G4,182.0,0.498,127,130.0
304,G5,182.5,0.248,127,130.0
305,G4,183.0,0.498,127,130.0
306,D4,184.0,1.498,127,130.0
307,G4,185.5,0.498,127,130.0
308,B-4,186.0,1.498,127,130.0
309,G4,187.5,0.498,127,130.0
310,F#4,188.0,1.498,127,130.0
311,G4,189.5,0.248,127,130.0
312,A4,189.75,0.248,127,130.0
313,G4,190.0,1.998,127,130.0
314,E-4,192.0,1.498,127,130.0
315,F4,193.5,0.248,127,130.0
316,G4,193.75,0.248,127,130.0
317,D4,194.0,1.998,127,130.0
318,C4,196.0,0.248,127,130.0
319,B-3,196.25,0.373,127,130.0
320,A3,197.0,0.748,127,130.0
321,D4,197.75,0.248,127,130.0
322,G3,198.0,1.998,127,130.0
323,B-3,200.0,0.998,127,130.0
324,D5,202.0,1.498,127,130.0
325,B-4,203.5,0.498,127,130.0
326,A4,204.0,0.248,100,130.0
327,A4,204.5,0.248,100,130.0
328,A4,205.0,0.248,100,130.0
329,B-4,205.5,0.248,127,130.0
330,C5,205.75,0.248,127,130.0
331,B-4,206.0,1.998,127,130.0
332,E-5,208.0,0.248,127,130.0
333,F5,208.25,0.248,127,130.0
334,G5,208.5,0.248,127,130.0
335,E-5,208.75,0.248,127,130.0
336,D5,209.0,0.248,127,130.0
337,E-5,209.25,0.248,127,130.0
338,F5,209.5,0.248,127,130.0
339,D5,209.75,0.248,127,130.0
340,C5,210.0,0.248,127,130.0
341,D5,210.25,0.248,127,130.0
342,E-5,210.5,0.248,127,130.0
343,C5,210.75,0.248,127,130.0
344,B-4,211.0,0.248,127,130.0
345,C5,211.25,0.248,127,130.0
346,D5,211.5,0.248,127,130.0
347,B-4,211.75,0.248,127,130.0
348,C5,212.0,0.248,127,130.0
349,B-4,212.25,0.373,127,130.0
350,A4,213.0,0.748,127,130.0
351,D5,213.75,0.248,127,130.0
352,G4,214.0,0.998,127,130.0
353,B-4,214.875,-0.002,127,130.0
354,D5,214.875,-0.002,127,130.0
355,G5,215.0,0.498,127,130.0
356,D5,216.0,0.498,127,130.0
357,D5,217.0,0.498,127,130.0
358,E-5,218.0,1.498,127,130.0
359,D5,219.5,0.498,127,130.0
360,C5,220.5,0.998,127,130.0
361,B4,221.5,0.248,127,130.0
362,C5,221.75,0.248,127,130.0
363,D5,222.0,0.248,127,130.0
364,C5,222.25,0.248,127,130.0
365,B4,222.5,0.248,127,130.0
366,D5,222.75,0.248,127,130.0
367,C5,223.0,0.498,127,130.0
368,C5,224.0,0.498,127,130.0
369,C5,225.0,0.498,127,130.0
370,D5,226.0,1.498,127,130.0
371,C5,227.5,0.498,127,130.0
372,B-4,228.5,0.998,127,130.0
373,A4,229.5,0.248,127,130.0
374,B-4,229.75,0.248,127,130.0
375,C5,230.0,0.248,127,130.0
376,B-4,230.25,0.248,127,130.0
377,A4,230.5,0.248,127,130.0
378,C5,230.75,0.248,127,130.0
379,B-4,231.0,0.498,127,130.0
380,A4,232.0,0.498,127,130.0
381,A4,233.0,0.498,127,130.0
382,C5,234.0,0.248,127,130.0
383,B-4,234.5,0.498,127,130.0
384,A4,235.5,0.998,127,130.0
385,G4,236.5,0.498,127,130.0
386,F#4,237.5,0.248,127,130.0
387,G4,237.75,0.248,127,130.0
388,A4,238.0,0.248,127,130.0
389,G4,238.25,0.248,127,130.0
390,F#4,238.5,0.248,127,130.0
391,A4,238.75,0.248,127,130.0
392,G4,239.0,0.498,127,130.0
393,D5,240.0,0.498,127,130.0
394,D4,241.75,0.123,127,130.0
395,E4,242.0,0.498,127,130.0
396,F#4,243.0,0.498,127,130.0
397,G4,244.0,0.248,127,130.0
398,G4,244.5,0.998,127,130.0
399,F#4,245.5,0.248,127,130.0
400,G4,245.75,0.248,127,130.0
401,A4,246.0,0.248,127,130.0
402,G4,246.25,0.248,127,130.0
403,F#4,246.5,0.248,127,130.0
404,A4,246.75,0.248,127,130.0
405,G4,247.0,0.498,127,130.0
406,G5,248.0,0.498,127,130.0
407,D5,249.0,0.498,127,130.0
408,G3,250.0,1.998,114,130.0
409,G4,250.0,1.998,114,130.0
